Rank,State,Population
1,California,19971069
2,New York,18241266
3,Pennsylvania,11793909
4,Texas,11196730
5,Illinois,11113976
6,Ohio,10652017
7,Michigan,8875083
8,New Jersey,7168164
9,Florida,6789443
10,Massachusetts,5689170
11,Indiana,5193669
12,North Carolina,5082059
13,Missouri,4677399
14,Virginia,4648494
15,Georgia,4589575
16,Wisconsin,4417933
17,Tennessee,3924164
18,Maryland,3922399
19,Minnesota,3805069
20,Louisiana,3643180
21,Alabama,3444165
22,Washington,3409169
23,Kentucky,3219311
24,Connecticut,3032217
25,Iowa,2825041
26,South Carolina,2590516
27,Oklahoma,2559253
28,Kansas,2249071
29,Mississippi,2216912
30,Colorado,2207259
31,Oregon,2091385
32,Arkansas,1923295
33,Arizona,1772482
34,West Virginia,1744237
35,Nebraska,1483791
36,Utah,1059273
37,New Mexico,1016000
38,Maine,993663
39,Rhode Island,949723
40,Hawaii,769913
x,District of Columbia,756510
41,New Hampshire,737681
42,Idaho,713008
43,Montana,694409
44,South Dakota,666257
45,North Dakota,617761
46,Delaware,548104
47,Nevada,488738
48,Vermont,444732
49,Wyoming,332416
50,Alaska,302173
